Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
LAC_011	6182671	2778373	363642	2006008	0	0	0	0	32018	0	0	0	0	891780	65432	45418	44.938069646597725	6182671.0	4176663.0	67.55	2006008.0	32.45	LAC_011_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6182671.0	0.0	20-51	41.0	16.07871830904001	50.44985314599465	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6188645	2107460	6188645	315620895	161403	312658478	0.9385997717293084	0.0138	0.6147	0.3716
LAC_012	5633913	2323745	826293	1632879	0	0	0	0	26726	0	0	0	0	733337	54783	36150	41.24566708786593	5633913.0	4001034.0	71.02	1632879.0	28.98	LAC_012_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5633913.0	0.0	20-51	42.0	16.007553968410793	50.46565699541331	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	5638645	2072829	5638645	287570895	383134	284375339	1.1112237210236453	0.0122	0.6274	0.3604
LAC_013	4894727	2061378	575372	1516142	0	0	0	0	38973	0	0	0	0	614492	46332	42038	42.114258874907634	4894727.0	3378585.0	69.02	1516142.0	30.98	LAC_013_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4894727.0	0.0	20-51	42.0	19.31616512332437	50.447160791602876	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	4899735	1608245	4899735	249886485	96564	247672583	0.8859630803962848	0.0138	0.6596	0.3266
LAC_014	5648890	1915182	1467256	1484621	0	0	0	0	50127	0	0	0	0	651183	43508	37013	33.90368727307489	5648890.0	4164269.0	73.72	1484621.0	26.28	LAC_014_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5648890.0	0.0	20-51	43.0	14.94704332697636	50.55710927279519	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5653566	1727975	5653566	288331866	123981	285824506	0.8696090497329907	0.0134	0.6803	0.3063
LAC_015	5263830	1093380	1578682	1152584	0	0	0	0	63904	0	0	0	0	1321585	33162	20533	20.77156747083397	5263830.0	4111246.0	78.1	1152584.0	21.9	LAC_015_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5263830.0	0.0	20-51	44.0	12.2276090474272	50.346627265698174	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5271192	2042112	5271192	268830792	475933	265105526	1.3857289086140099	0.016	0.6979	0.28600000000000003
LAC_016	5816133	1554961	882505	1528286	0	0	0	0	45679	0	0	0	0	1727165	44112	33425	26.735306775137364	5816133.0	4287847.0	73.72	1528286.0	26.28	LAC_016_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5816133.0	0.0	20-51	43.0	12.895489870449	50.52776165882039	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5824443	1854137	5824443	297046593	135771	294291233	0.9275851213011556	0.0153	0.7026	0.2821
LAC_017	6508244	1343697	2668203	1403777	0	0	0	0	61879	0	0	0	0	971213	29734	29741	20.646075961503595	6508244.0	5104467.0	78.43	1403777.0	21.57	LAC_017_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6508244.0	0.0	20-51	46.0	11.62310175509414	50.57253492647172	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6514787	2441698	6514787	332254137	467411	328219929	1.2141934593879866	0.0121	0.6726	0.3153
LAC_018	5079680	1358165	1273993	1415657	0	0	0	0	45626	0	0	0	0	922993	30382	32864	26.73721573012473	5079680.0	3664023.0	72.13	1415657.0	27.87	LAC_018_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5079680.0	0.0	20-51	44.0	14.111280063409026	50.40495779261686	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5084186	1943963	5084186	259293486	344079	256093880	1.2339708372002836	0.0138	0.6342	0.35200000000000004
LAC_019	7198643	1232629	3824461	1681182	0	0	0	0	64172	0	0	0	0	330243	31108	34848	17.12307444611436	7198643.0	5517461.0	76.65	1681182.0	23.35	LAC_019_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7198643.0	0.0	20-51	46.0	10.907945394786337	50.44752406807783	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	7204332	2660737	7204332	367420932	460312	363219854	1.1433964791096878	0.0096	0.7055	0.2849
LAC_020	6410807	2269181	692204	2508562	0	0	0	0	37818	0	0	0	0	795302	53253	54487	35.396183351019616	6410807.0	3902245.0	60.87	2508562.0	39.13	LAC_020_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6410807.0	0.0	20-51	41.0	14.690896006958726	50.43471578539176	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	6415000	2144740	6415000	327165000	144920	324073046	0.9450748093469656	0.016	0.6832	0.3008
